date,open,high,low,close,volume,Name
10/6/2014,578.8,581,574.44,577.35,1211320,GOOG
10/7/2014,574.4,575.27,563.74,563.74,1906427,GOOG
10/8/2014,565.57,573.88,557.49,572.5,1987888,GOOG
10/9/2014,571.18,571.49,559.06,560.88,2519693,GOOG
10/10/2014,557.72,565.1299,544.05,544.49,3078634,GOOG
10/13/2014,544.99,549.5,533.1,533.21,2578676,GOOG
10/14/2014,538.9,547.19,533.1695,537.94,2217230,GOOG
10/15/2014,531.01,532.8,518.3,530.03,3712536,GOOG
10/16/2014,519,529.43,515,524.51,3698423,GOOG
10/17/2014,527.25,530.98,508.53,511.17,5530674,GOOG
10/20/2014,509.45,521.76,508.1,520.84,2605505,GOOG
10/21/2014,525.19,526.79,519.11,526.54,2332531,GOOG
10/22/2014,529.89,539.8,528.8,532.71,2917183,GOOG
10/23/2014,539.32,547.22,535.85,543.98,2345296,GOOG
10/24/2014,544.36,544.88,535.79,539.78,1972047,GOOG
10/27/2014,537.03,544.41,537.03,540.77,1184973,GOOG
10/28/2014,543,548.98,541.62,548.9,1273372,GOOG
10/29/2014,550,554.19,546.98,549.33,1767107,GOOG
10/30/2014,548.95,552.8,543.51,550.31,1451667,GOOG
10/31/2014,559.35,559.57,554.75,559.08,2032887,GOOG
11/3/2014,555.5,557.9,553.23,555.22,1378511,GOOG
11/4/2014,553,555.5,549.3,554.11,1240761,GOOG
11/5/2014,556.8,556.8,544.05,545.92,2026740,GOOG
11/6/2014,545.5,546.885,540.97,542.04,1329604,GOOG
11/7/2014,546.21,546.21,538.67,541.01,1629259,GOOG
11/10/2014,541.46,549.59,541.02,547.49,1131546,GOOG
11/11/2014,548.49,551.9399,546.3,550.29,964866,GOOG
11/12/2014,550.39,550.46,545.17,547.31,1126594,GOOG
11/13/2014,549.8,549.8,543.48,545.38,1335719,GOOG
11/14/2014,546.68,546.68,542.15,544.4,1285991,GOOG
11/17/2014,543.58,543.79,534.061,536.51,1721282,GOOG
11/18/2014,537.5,541.94,534.17,535.03,1957664,GOOG
11/19/2014,535,538.24,530.08,536.99,1388440,GOOG
11/20/2014,531.25,535.11,531.08,534.83,1559131,GOOG
11/21/2014,541.61,542.14,536.56,537.5,2218249,GOOG
11/24/2014,537.65,542.7,535.62,539.27,1701682,GOOG
11/25/2014,539,543.98,538.602,541.08,1784967,GOOG
11/26/2014,540.88,541.55,537.042,540.37,1519503,GOOG
11/28/2014,540.62,542,536.6,541.83,1145231,GOOG
12/1/2014,538.9,541.41,531.86,533.8,2109599,GOOG
12/2/2014,533.51,535.5,529.8,533.75,1522481,GOOG
12/3/2014,531.44,535.996,529.26,531.32,1279288,GOOG
12/4/2014,531.16,537.34,528.59,537.31,1392208,GOOG
12/5/2014,531,532.89,524.28,525.26,2558649,GOOG
12/8/2014,527.13,531,523.79,526.98,2327127,GOOG
12/9/2014,522.14,534.19,520.5,533.37,1871268,GOOG
12/10/2014,533.08,536.33,525.56,526.06,1716835,GOOG
12/11/2014,527.8,533.92,527.1,528.34,1610964,GOOG
12/12/2014,523.51,528.5,518.66,518.66,1989117,GOOG
12/15/2014,522.74,523.1,513.27,513.8,2812786,GOOG
12/16/2014,511.56,513.05,489,495.39,3953371,GOOG
12/17/2014,497,507,496.81,504.89,2875281,GOOG
12/18/2014,512.95,513.87,504.7,511.1,2918730,GOOG
